feature,correlation_with_target
ema_60m_normalized,0.044251120004468
ema_30m_normalized,0.040219376202113626
ema_15m_normalized,0.034900888032880176
ema_10m_normalized,0.032719059708590896
ema_5m_normalized,0.029979245056641738
hour_of_day,0.0200287290030872
minute_of_day,0.019614698985480176
volatility_15m,0.006239884181625594
volatility_30m,0.004193497850962156
price_range,0.003054447797704106
atr_14,0.002274553559201365
volatility_60m,0.001400412677576377
day_of_week,-0.0006318341530686838
slope2_ema_5m_normalized,-0.004987222271333992
slope2_ema_10m_normalized,-0.008223800735875458
slope2_ema_15m_normalized,-0.009596625398683589
slope2_ema_30m_normalized,-0.011239456498359938
slope2_ema_60m_normalized,-0.012867723945667557
return_lag_2,-0.014761664595376969
return_lag_1,-0.014802503159460165
macd_histogram_normalized,-0.016521105876347496
return_1m,-0.01834006239274873
oc_spread,-0.019489509253864862
dist_from_high_30m,-0.02594340969339758
momentum_15m,-0.02819360415344349
dist_from_low_30m,-0.02923824331956211
slope_ema_5m_normalized,-0.029979245056644965
slope_ema_10m_normalized,-0.03271905970859197
slope_ema_15m_normalized,-0.03490088803288207
macd_signal_normalized,-0.03899550281575751
slope_ema_30m_normalized,-0.04021937620211456
momentum_30m,-0.04038889684276617
momentum_60m,-0.04061296867481324
macd_normalized,-0.041530196487069015
ema_crossover_5m_60m,-0.041530196487069015
ema_60m_z,-0.04199776580498432
price_normalized,-0.044139981146091176
slope_ema_60m_normalized,-0.0442511200044676
rsi_14,-0.04434015737952257
ema_30m_z,-0.047300244234621355
ema_15m_z,-0.0494353310660313
bb_position_20,-0.0496152951910513
ema_10m_z,-0.05063960657682463
ema_5m_z,-0.05304290429829328
price_z,-0.05715723878025945
