node_id,left_child,right_child,feature,threshold,impurity,n_node_samples,weighted_n_node_samples,value,class
162,163,166,32,0.0003670028527267277,0.49999596079366815,29554,29554.0,"[0.49857887257224065, 0.5014211274277593]",1
192,193,208,8,-0.00032756858854554594,0.49999446140611326,36656,36656.0,"[0.49833587952859015, 0.5016641204714098]",1
153,154,157,30,0.0005642146861646324,0.4999921207113045,101015,101015.0,"[0.4980151462654061, 0.5019848537345939]",1
89,90,93,32,0.0013276173849590123,0.499989326792473,5411,5411.0,"[0.49768989096285343, 0.5023101090371466]",1
407,408,409,27,0.0002576819679234177,0.49998856846922834,6065,6065.0,"[0.49760923330585327, 0.5023907666941467]",1
260,261,262,30,0.001668797864113003,0.4999877636129806,1415,1415.0,"[0.4975265017667845, 0.5024734982332155]",1
116,-1,-1,-2,-2.0,0.4999813241961981,12599,12599.0,"[0.49694420192078737, 0.5030557980792126]",1
47,-1,-1,-2,-2.0,0.49998071062073224,4991,4991.0,"[0.4968944099378882, 0.5031055900621118]",1
252,-1,-1,-2,-2.0,0.49997933207301837,26597,26597.0,"[0.49678535173139826, 0.5032146482686017]",1
145,146,153,29,-0.0013990883016958833,0.49997813432487703,104038,104038.0,"[0.49669351583075416, 0.5033064841692458]",1
234,-1,-1,-2,-2.0,0.49997689503607534,11033,11033.0,"[0.49660110577358835, 0.5033988942264117]",1
243,-1,-1,-2,-2.0,0.4999666965437466,2083,2083.0,"[0.4959193470955353, 0.5040806529044647]",1
348,349,350,30,0.00043502263724803925,0.49996584932723176,242,242.0,"[0.49586776859504134, 0.5041322314049587]",1
392,-1,-1,-2,-2.0,0.49993989761075286,7844,7844.0,"[0.49451810300866905, 0.505481896991331]",1
353,354,357,7,3.138769268989563,0.4999326371173469,4480,4480.0,"[0.4941964285714286, 0.5058035714285715]",1
222,-1,-1,-2,-2.0,0.49992245900855725,11483,11483.0,"[0.49377340416267523, 0.5062265958373248]",1
154,155,156,39,-0.00015009756316430867,0.4999104837632623,70402,70402.0,"[0.4933098491520127, 0.5066901508479873]",1
247,248,251,30,-0.0009795189835131168,0.4999038259434835,35547,35547.0,"[0.493065518890483, 0.506934481109517]",1
