feature,importance
ema_60m_normalized,0.0530755673229925
price_normalized,0.0479836925156804
minute_of_day,0.04652819891983692
slope_ema_60m_normalized,0.04610563240957313
slope_ema_30m_normalized,0.0449459515086116
macd_normalized,0.038073116927237104
volatility_60m,0.03587565399500135
ema_30m_z,0.03530100617111426
macd_signal_normalized,0.034628647006240014
price_z,0.033504380938359925
volatility_30m,0.031795860947311516
ema_30m_normalized,0.031393688309889756
momentum_60m,0.03013352241720931
atr_14,0.02987663757848259
volatility_15m,0.028928999943569754
ema_5m_z,0.026418284726713957
momentum_30m,0.026330509749105415
ema_10m_z,0.025190075632712805
ema_15m_z,0.02409091385907747
ema_60m_z,0.023969072983478945
dist_from_low_30m,0.022637811885963165
hour_of_day,0.021608798773827376
bb_position_20,0.020063593309589685
dist_from_high_30m,0.019849959841779265
rsi_14,0.01873403961014871
momentum_15m,0.017022891771672054
ema_15m_normalized,0.016946684139644595
macd_histogram_normalized,0.016077533286073246
slope_ema_15m_normalized,0.014729070988586003
ema_10m_normalized,0.014129961131869215
slope_ema_5m_normalized,0.013112858692398041
slope_ema_10m_normalized,0.012792647837021833
price_range,0.011903990149225165
ema_5m_normalized,0.011842800260913895
day_of_week,0.010025000478872243
return_lag_1,0.008749249176007959
return_lag_2,0.008685910102196317
oc_spread,0.007368547079802966
slope2_ema_5m_normalized,0.006824252805831754
slope2_ema_60m_normalized,0.006701273700811718
slope2_ema_10m_normalized,0.006659121940033989
slope2_ema_30m_normalized,0.006623611489388731
slope2_ema_15m_normalized,0.006544261766523318
return_1m,0.0062167159196200375
